[INFO] [1776691607.771806069] [tag_localization]: tag_localization started
[INFO] [1776691607.772639344] [tag_localization]: detections_topic=/aruco/detections_json
[INFO] [1776692389.973033847] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.519, y=1.074, yaw=-120.7 deg
[INFO] [1776692390.488123039] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692391.290730599] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692391.918542290] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692392.932777412] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692393.286422487] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692394.798927116] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692395.885668258] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692397.514696965] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.132, yaw=-118.1 deg
[INFO] [1776692398.004733221] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692398.369529408] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692398.746472351] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.439, y=1.130, yaw=-117.8 deg
[INFO] [1776692399.062829976] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.126, yaw=-118.5 deg
[INFO] [1776692399.515430114] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.442, y=1.124, yaw=-118.0 deg
[INFO] [1776692406.239145017] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.443, y=1.124, yaw=-118.2 deg
[INFO] [1776692406.918960759] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.440, y=1.125, yaw=-117.8 deg
[INFO] [1776692407.338445025] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692407.666004187] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.446, y=1.129, yaw=-118.5 deg
[INFO] [1776692408.125818320] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692408.613485046] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692409.031573947] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692409.509251076] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692411.038141817] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692411.714318052] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692412.730681536] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692413.242776293] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692413.715334255] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692414.241906853] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
[INFO] [1776692414.871418631] [tag_localization]: selected=Blue_far | visible=['Blue_far'] | bot_pose: x=2.449, y=1.128, yaw=-118.8 deg
