id,x_mm,y_mm,source
36,1930.0,161.2,stable_crates[16]
36,1880.3,170.9,stable_crates[15]
36,1126.2,791.7,stable_crates[5]
36,1229.0,800.7,stable_crates[3]
36,1866.9,801.8,stable_crates[14]
36,1918.5,804.6,stable_crates[1]
36,188.0,1120.6,stable_crates[17]
36,2826.9,1172.9,stable_crates[10]
36,190.3,1272.5,stable_crates[8]
36,2829.7,1272.9,stable_crates[7]
47,1827.4,165.4,stable_crates[18]
47,1981.0,165.7,stable_crates[19]
47,1079.3,792.1,stable_crates[6]
47,1179.6,798.6,stable_crates[4]
47,1766.1,802.1,stable_crates[2]
47,1818.3,804.3,stable_crates[0]
47,2828.0,1122.9,stable_crates[13]
47,185.5,1171.8,stable_crates[12]
47,2824.1,1220.6,stable_crates[9]
47,187.8,1222.0,stable_crates[11]
