id,x_mm,y_mm,theta_deg,source
36,1932.5,164.6,91.5,stable_crates[12]
36,1881.7,173.8,90.5,stable_crates[11]
36,1127.0,791.6,270.1,stable_crates[2]
36,1867.8,797.8,90.4,stable_crates[16]
36,1229.3,800.3,90.7,stable_crates[0]
36,1919.6,800.5,90.4,stable_crates[13]
36,2833.8,1170.5,177.6,stable_crates[6]
36,2837.1,1271.0,1.8,stable_crates[4]
36,1886.0,1718.8,89.4,stable_crates[19]
41,2165.1,1655.5,269.6,stable_crates[20]
41,2270.6,1658.5,89.0,stable_crates[18]
41,2220.7,1667.2,264.3,stable_crates[17]
47,1983.2,168.6,268.8,stable_crates[14]
47,1829.2,169.0,88.0,stable_crates[15]
47,1079.4,792.2,272.6,stable_crates[3]
47,1766.6,797.4,89.3,stable_crates[9]
47,1179.7,798.2,272.1,stable_crates[1]
47,1820.1,800.4,89.8,stable_crates[10]
47,2835.7,1120.1,0.8,stable_crates[7]
47,2830.9,1218.7,183.9,stable_crates[5]
47,1937.3,1723.4,269.8,stable_crates[21]
47,1629.7,1772.1,269.5,stable_crates[8]
